Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions
D008_4,C000001,1123.639,2809.1,Low,None
D008_4,C000002,33.19,83.0,Low,None
D008_4,C000003,32.757,102.4,Medium,None
D008_4,C000004,1128.987,3528.1,Medium,None
D008_4,C000005,1129.014,3528.2,Medium,No Heavy Trucks
D008_4,C000006,24.95,62.4,Low,None
D008_4,C000007,160.566,501.8,Medium,None
D008_4,C000008,1117.721,3492.9,Medium,None
D008_4,C000009,1128.873,3527.7,Medium,None
D008_4,C000010,6.293,19.7,Medium,One-Way
D008_4,C000011,27.429,68.6,Low,None
D008_4,C000012,1124.584,3514.3,Medium,None
D008_4,C000013,21.769,54.4,Low,None
D008_4,C000014,26.486,82.8,Medium,None
D008_4,C000015,37.426,117.0,Medium,No Heavy Trucks
D008_4,C000016,1125.326,3516.6,Medium,None
D008_4,C000017,16.684,52.1,Medium,None
D008_4,C000018,24.025,60.1,Low,None
D008_4,C000019,1138.513,3557.9,Medium,No Heavy Trucks
D008_4,C000020,1126.347,2815.9,Low,None
D008_4,C000021,1115.717,3486.6,Medium,No Heavy Trucks
D008_4,C000022,579.465,1810.8,Medium,None
D008_4,C000023,1135.16,4540.6,High,None
D008_4,C000024,1119.15,3497.3,Medium,None
D008_4,C000025,1122.416,2806.0,Low,None
D008_4,C000026,18.876,59.0,Medium,No Heavy Trucks
D008_4,C000027,20.602,82.4,High,None
D008_4,C000028,28.171,70.4,Low,No Heavy Trucks
D008_4,C000029,25.765,80.5,Medium,None
D008_4,C000030,1120.447,2801.1,Low,None
D008_4,C000031,28.102,70.3,Low,None
D008_4,C000032,26.331,105.3,High,One-Way
D008_4,C000033,31.631,98.8,Medium,None
D008_4,C000034,1132.252,3538.3,Medium,None
D008_4,C000035,23.872,74.6,Medium,No Heavy Trucks
D008_4,C000036,27.013,84.4,Medium,None
D008_4,C000037,13.951,43.6,Medium,None
D008_4,C000038,591.302,1847.8,Medium,None
D008_4,C000039,155.539,388.8,Low,None
D008_4,C000040,1113.366,4453.5,High,None
D008_4,C000041,1124.127,2810.3,Low,None
D008_4,C000042,30.313,94.7,Medium,None
D008_4,C000043,17.715,70.9,High,None
D008_4,C000044,12.489,31.2,Low,None
D008_4,C000045,587.074,2348.3,High,None
D008_4,C000046,34.888,87.2,Low,None
D008_4,C000047,1119.757,4479.0,High,None
D008_4,C000048,155.985,390.0,Low,One-Way
D008_4,C000049,1130.76,3533.6,Medium,No Heavy Trucks
D008_4,C000050,1117.553,3492.4,Medium,None
D008_4,C000051,37.846,94.6,Low,None
D008_4,C000052,587.645,1469.1,Low,None
D008_4,C000053,1118.529,4474.1,High,One-Way
D008_4,C000054,1119.955,3499.9,Medium,None
D008_4,C000055,23.994,75.0,Medium,None
D008_4,C000056,7.695,24.0,Medium,None
D008_4,C000057,34.999,109.4,Medium,None
D008_4,C000058,1114.857,2787.1,Low,One-Way
D008_4,C000059,590.987,2363.9,High,None
D008_4,C000060,1140.277,3563.4,Medium,None
D008_4,C000061,1130.463,2826.2,Low,None
D008_4,C000062,1133.571,3542.4,Medium,None
D008_4,C000063,1118.683,4474.7,High,None
D008_4,C000064,1127.79,2819.5,Low,None
D008_4,C000065,593.192,1483.0,Low,One-Way
D008_4,C000066,29.607,92.5,Medium,None
D008_4,C000067,1121.381,2803.5,Low,None
D008_4,C000068,11.906,29.8,Low,None
D008_4,C000069,7.069,28.3,High,None
D008_4,C000070,1131.508,3536.0,Medium,None
D008_4,C000071,26.579,83.1,Medium,None
D008_4,C000072,583.954,1824.9,Medium,None
D008_4,C000073,1120.355,2800.9,Low,No Heavy Trucks
D008_4,C000074,1118.704,2796.8,Low,None
D008_4,C000075,27.427,85.7,Medium,None
D008_4,C000076,1137.488,2843.7,Low,None
