Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions
D009_3,C000001,1192.256,2751.4,Low,None
D009_3,C000002,63.404,182.9,Medium,None
D009_3,C000003,73.043,210.7,Medium,None
D009_3,C000004,1197.378,3454.0,Medium,None
D009_3,C000005,1197.609,3454.6,Medium,No Heavy Trucks
D009_3,C000006,60.969,225.1,High,One-Way
D009_3,C000007,157.722,364.0,Low,None
D009_3,C000008,1186.137,4379.6,High,None
D009_3,C000009,1197.222,4420.5,High,None
D009_3,C000010,68.494,252.9,High,No Heavy Trucks
D009_3,C000011,63.143,145.7,Low,None
D009_3,C000012,1192.911,2752.9,Low,None
D009_3,C000013,57.787,133.4,Low,None
D009_3,C000014,54.812,158.1,Medium,None
D009_3,C000015,69.45,160.3,Low,None
D009_3,C000016,1193.815,4407.9,High,None
D009_3,C000017,69.788,201.3,Medium,None
D009_3,C000018,59.452,137.2,Low,None
D009_3,C000019,1206.74,4455.7,High,None
D009_3,C000020,1194.667,2756.9,Low,None
D009_3,C000021,1184.226,3416.0,Medium,None
D009_3,C000022,638.396,1841.5,Medium,None
D009_3,C000023,1203.404,3471.4,Medium,None
D009_3,C000024,1187.42,3425.3,Medium,None
D009_3,C000025,1190.833,2748.1,Low,None
D009_3,C000026,69.757,257.6,High,None
D009_3,C000027,59.667,137.7,Low,One-Way
D009_3,C000028,59.298,136.8,Low,One-Way
D009_3,C000029,54.659,157.7,Medium,No Heavy Trucks
D009_3,C000030,1189.106,3430.1,Medium,None
D009_3,C000031,59.273,218.9,High,None
D009_3,C000032,63.811,184.1,Medium,None
D009_3,C000033,55.469,160.0,Medium,None
D009_3,C000034,1200.931,2771.4,Low,None
D009_3,C000035,72.954,269.4,High,None
D009_3,C000036,59.229,170.9,Medium,None
D009_3,C000037,60.713,140.1,Low,None
D009_3,C000038,650.009,1875.0,Medium,None
D009_3,C000039,153.759,443.5,Medium,One-Way
D009_3,C000040,1181.736,3408.9,Medium,None
D009_3,C000041,1192.695,4403.8,High,None
D009_3,C000042,50.798,117.2,Low,None
D009_3,C000043,59.253,136.7,Low,None
D009_3,C000044,69.456,200.4,Medium,None
D009_3,C000045,645.991,1863.4,Medium,No Heavy Trucks
D009_3,C000046,67.368,155.5,Low,None
D009_3,C000047,1188.115,4386.9,High,None
D009_3,C000048,150.016,432.7,Medium,No Heavy Trucks
D009_3,C000049,1199.297,2767.6,Low,No Heavy Trucks
D009_3,C000050,1186.239,2737.5,Low,None
D009_3,C000051,60.428,223.1,High,No Heavy Trucks
D009_3,C000052,646.674,1492.3,Low,None
D009_3,C000053,1186.92,2739.0,Low,None
D009_3,C000054,1188.583,3428.6,Medium,None
D009_3,C000055,69.669,201.0,Medium,None
D009_3,C000056,66.672,192.3,Medium,No Heavy Trucks
D009_3,C000057,60.093,138.7,Low,None
D009_3,C000058,1183.154,2730.4,Low,None
D009_3,C000059,649.108,1872.4,Medium,No Heavy Trucks
D009_3,C000060,1208.814,3487.0,Medium,None
D009_3,C000061,1199.071,2767.1,Low,None
D009_3,C000062,1202.253,3468.0,Medium,None
D009_3,C000063,1187.176,2739.6,Low,None
D009_3,C000064,1196.222,3450.6,Medium,None
D009_3,C000065,652.027,1504.7,Low,None
D009_3,C000066,75.087,173.3,Low,None
D009_3,C000067,1189.905,3432.4,Medium,None
D009_3,C000068,66.136,152.6,Low,None
D009_3,C000069,67.736,156.3,Low,None
D009_3,C000070,1199.772,3460.9,Medium,No Heavy Trucks
D009_3,C000071,68.459,252.8,High,None
D009_3,C000072,642.001,1851.9,Medium,None
D009_3,C000073,1188.749,2743.3,Low,None
D009_3,C000074,1187.375,2740.1,Low,None
D009_3,C000075,76.906,221.8,Medium,No Heavy Trucks
D009_3,C000076,1206.144,4453.5,High,None
D009_3,C000077,1187.987,3426.9,Medium,None
D009_3,C000078,69.965,201.8,Medium,None
