origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions,source_file
C000107,D003_2,2.224,6.0,Medium,,roads_D003_2.csv
C000107,D003_4,2.905,6.2,Low,No Heavy Trucks,roads_D003_4.csv
C000107,D003_5,2.179,5.8,Medium,,roads_D003_5.csv
C000107,D006_1,440.461,1179.8,Medium,,roads_D006_1.csv
C000107,D006_2,439.834,1178.1,Medium,,roads_D006_2.csv
C000107,D006_3,440.964,1181.2,Medium,,roads_D006_3.csv
C000107,D006_4,440.641,1180.3,Medium,,roads_D006_4.csv
C000107,D006_5,436.256,934.8,Low,,roads_D006_5.csv
C000107,D007_1,79.379,183.2,Low,,roads_D007_1.csv
C000107,D007_2,79.21,228.5,Medium,,roads_D007_2.csv
C000107,D007_3,77.813,287.3,High,,roads_D007_3.csv
C000107,D007_4,77.732,224.2,Medium,,roads_D007_4.csv
C000107,D007_5,81.208,234.3,Medium,,roads_D007_5.csv
C000125,D003_1,9.144,24.5,Medium,,roads_D003_1.csv
C000125,D003_2,6.446,22.1,High,,roads_D003_2.csv
C000125,D003_4,5.896,15.8,Medium,,roads_D003_4.csv
C000125,D003_5,10.702,28.7,Medium,,roads_D003_5.csv
C000125,D006_1,434.312,1163.3,Medium,,roads_D006_1.csv
C000125,D006_2,433.735,1161.8,Medium,No Heavy Trucks,roads_D006_2.csv
C000125,D006_3,434.837,931.8,Low,,roads_D006_3.csv
C000125,D006_4,434.535,931.1,Low,,roads_D006_4.csv
C000125,D006_5,430.092,1152.0,Medium,,roads_D006_5.csv
C000125,D007_1,87.924,202.9,Low,,roads_D007_1.csv
C000125,D007_2,87.752,253.1,Medium,,roads_D007_2.csv
C000125,D007_3,86.338,249.1,Medium,,roads_D007_3.csv
C000125,D007_4,86.276,318.6,High,,roads_D007_4.csv
C000125,D007_5,89.742,258.9,Medium,,roads_D007_5.csv
C000134,D003_1,11.501,30.8,Medium,,roads_D003_1.csv
C000134,D003_2,8.979,24.1,Medium,,roads_D003_2.csv
C000134,D003_3,6.911,14.8,Low,,roads_D003_3.csv
C000134,D003_5,12.62,43.3,High,,roads_D003_5.csv
C000134,D006_1,430.494,1153.1,Medium,,roads_D006_1.csv
C000134,D006_3,431.01,1154.5,Medium,,roads_D006_3.csv
C000134,D006_4,430.699,1153.7,Medium,,roads_D006_4.csv
C000134,D006_5,426.281,913.5,Low,,roads_D006_5.csv
C000134,D007_1,89.065,205.5,Low,,roads_D007_1.csv
C000134,D007_2,88.947,256.6,Medium,,roads_D007_2.csv
C000134,D007_3,87.706,202.4,Low,,roads_D007_3.csv
C000134,D007_4,87.438,201.8,Low,,roads_D007_4.csv
C000134,D007_5,91.039,336.1,High,,roads_D007_5.csv
